Starting job 323621 on b[1114,1117,1134-1135,1137-1142,2139-2145,3149,3155-3157,3159,3177-3178,3186-3193] at Tue Mar 29 15:43:05 CEST 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_tr_j9p_j7n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
323621             9p7n       4096                                             00:13:09      0:0 
323621.batch      batch        128        1   00:00:00          0   00:00:00   00:13:09      0:0 
323621.exte+     extern       4096       32   00:00:00          2   00:00:00   00:13:09      0:0 
323621.0     hydra_bst+       2048       16 2-00:18:48          2 2-04:39:40   00:13:07      0:0 
323621.1     hydra_bst+        128        1 2-05:47:57          0 2-05:47:57   00:13:05      0:0 
323621.2     hydra_bst+        128        1 2-05:49:43          0 2-05:49:43   00:13:05      0:0 
323621.3     hydra_bst+        128        1 2-05:47:45          0 2-05:47:45   00:13:05      0:0 
323621.4     hydra_bst+        128        1 2-05:51:15          0 2-05:51:15   00:13:05      0:0 
323621.5     hydra_bst+        128        1 2-05:51:59          0 2-05:51:59   00:13:05      0:0 
323621.6     hydra_bst+        128        1 2-05:45:56          0 2-05:45:56   00:13:05      0:0 
323621.7     hydra_bst+        128        1 2-05:50:27          0 2-05:50:27   00:13:05      0:0 
323621.8     hydra_bst+        128        1 2-02:07:27          0 2-02:07:27   00:13:05      0:0 
323621.9     hydra_bst+        128        1 2-05:48:52          0 2-05:48:52   00:13:05      0:0 
323621.10    hydra_bst+        128        1 2-05:51:21          0 2-05:51:21   00:13:05      0:0 
323621.11    hydra_bst+        128        1 2-05:50:06          0 2-05:50:06   00:13:05      0:0 
323621.12    hydra_bst+        128        1 2-05:52:23          0 2-05:52:23   00:13:05      0:0 
323621.13    hydra_bst+        128        1 2-05:51:53          0 2-05:51:53   00:13:05      0:0 
323621.14    hydra_bst+        128        1 2-01:57:00          0 2-01:57:00   00:13:05      0:0 
323621.15    hydra_bst+        128        1 2-05:50:40          0 2-05:50:40   00:13:05      0:0 
323621.16    hydra_bst+        128        1 2-05:50:14          0 2-05:50:14   00:13:05      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
323621                                                                           
323621.batch      8447K          0      8447K        9              0          9 
323621.exte+       845K         17     835488        3             15          1 
323621.0       5817808K          3 5882792192       73             15         61 
323621.1       5727132K          0   5727132K       56              0         56 
323621.2          5564M          0      5564M       41              0         41 
323621.3       5728519K          0   5728519K       61              0         61 
323621.4       5716089K          0   5716089K       49              0         49 
323621.5       5735676K          0   5735676K       50              0         50 
323621.6       5717526K          0   5717526K       58              0         58 
323621.7       5716566K          0   5716566K       57              0         57 
323621.8       5779917K          0   5779917K       51              0         51 
323621.9       5771092K          0   5771092K       43              0         43 
323621.10      5761868K          0   5761868K       55              0         55 
323621.11      5752837K          0   5752837K       48              0         48 
323621.12      5759329K          0   5759329K       46              0         46 
323621.13      5705248K          0   5705248K       48              0         48 
323621.14      5768947K          0   5768947K       58              0         58 
323621.15      5712116K          0   5712116K       48              0         48 
323621.16      5809597K          0   5809597K       51              0         51 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
323621                                                                                                
323621.batch        9.74M               0          9.74M        8.76M                0          8.76M 
323621.exte+        0.00M               2          0.00M            0                2              0 
323621.0         3180.38M               3       3143.72M       66.77M                0         66.76M 
323621.1         3139.55M               0       3139.55M       66.20M                0         66.20M 
323621.2         3131.58M               0       3131.58M       66.20M                0         66.20M 
323621.3         3134.33M               0       3134.33M       66.20M                0         66.20M 
323621.4         3148.17M               0       3148.17M       66.20M                0         66.20M 
323621.5         3133.11M               0       3133.11M       66.20M                0         66.20M 
323621.6         2513.29M               0       2513.29M       66.20M                0         66.20M 
323621.7         3137.65M               0       3137.65M       66.20M                0         66.20M 
323621.8         3135.80M               0       3135.80M       66.20M                0         66.20M 
323621.9         3136.41M               0       3136.41M       66.20M                0         66.20M 
323621.10        3151.91M               0       3151.91M       66.20M                0         66.20M 
323621.11        3141.87M               0       3141.87M       66.20M                0         66.20M 
323621.12        3168.79M               0       3168.79M       66.20M                0         66.20M 
323621.13        3130.50M               0       3130.50M       66.20M                0         66.20M 
323621.14        3126.77M               0       3126.77M       66.20M                0         66.20M 
323621.15        3141.44M               0       3141.44M       66.20M                0         66.20M 
323621.16        3137.57M               0       3137.57M       66.20M                0         66.20M 

Job 323621 completed at Tue Mar 29 15:56:15 CEST 2022
