Starting job 317791 on b[1165-1166,1170-1172,1177-1185,1349-1352,1357,1379-1384,3307-3316,3318,3321-3324,3332-3334,3346-3348,4101-4106,4121-4122,4146-4148,5152-5155,5169-5171] at Fri Mar 25 21:18:40 CET 2022

start running log_Sc45_GCLSTsdpfsdgix5pn_j7p.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
317791       Sc45_GCLS+       8192                                             00:02:32      0:0 
317791.batch      batch        128        1   00:00:00          0   00:00:00   00:02:32      0:0 
317791.exte+     extern       8192       64   00:00:00         60   00:00:00   00:02:32      0:0 
317791.0     hydra_bst+       2048       16   07:25:04          0   08:58:51   00:02:29      0:0 
317791.1     hydra_bst+        384        3   09:29:56          1   09:30:03   00:02:29      0:0 
317791.2     hydra_bst+        384        3   09:30:18          0   09:30:20   00:02:29      0:0 
317791.3     hydra_bst+        384        3   07:33:03          0   08:51:13   00:02:29      0:0 
317791.4     hydra_bst+        384        3   09:30:07          0   09:30:11   00:02:29      0:0 
317791.5     hydra_bst+        384        3   09:30:00          0   09:30:14   00:02:29      0:0 
317791.6     hydra_bst+        384        3   07:32:01          1   08:50:49   00:02:29      0:0 
317791.7     hydra_bst+        384        3   09:30:10          0   09:30:17   00:02:29      0:0 
317791.8     hydra_bst+        384        3   09:30:19          1   09:30:25   00:02:29      0:0 
317791.9     hydra_bst+        384        3   09:30:13          0   09:30:21   00:02:29      0:0 
317791.10    hydra_bst+        384        3   07:20:07          0   08:46:52   00:02:29      0:0 
317791.11    hydra_bst+        384        3   09:30:13          1   09:30:19   00:02:29      0:0 
317791.12    hydra_bst+        384        3   07:02:32          2   08:41:03   00:02:29      0:0 
317791.13    hydra_bst+        384        3   07:25:54          0   08:48:54   00:02:29      0:0 
317791.14    hydra_bst+        384        3   09:30:17          2   09:30:25   00:02:29      0:0 
317791.15    hydra_bst+        384        3   07:16:54          2   08:40:39   00:02:29      0:0 
317791.16    hydra_bst+        384        3   09:30:27          1   09:30:32   00:02:29      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
317791                                                                           
317791.batch      8650K          0      8650K        9              0          9 
317791.exte+       844K         56     857520        3             62          1 
317791.0       2796973K         11 2446893184       67             14         54 
317791.1       2630471K          2 2522717525       50              1         45 
317791.2       2774800K          0 2726671701       52              2         49 
317791.3       2450416K          2 2454819157       46              2         42 
317791.4       2620056K          0 2562622805       50              1         45 
317791.5       2623728K          2 2507355477       45              0         44 
317791.6       2908724K          1 2751030613       46              2         43 
317791.7       2752256K          1 2745800021       54              0         48 
317791.8       2501496K          1   2413120K       49              2         47 
317791.9       2792472K          2 2544979626       47              1         43 
317791.10      2460493K          1   2453018K       47              1         44 
317791.11      2774780K          2 2627360426       46              2         45 
317791.12      2455077K          1 2509936298       48              1         46 
317791.13      2452661K          2 2476242602       46              2         44 
317791.14      2614036K          0   2575803K       50              2         47 
317791.15      2646185K          1 2550756010       52              2         49 
317791.16      2622124K          2 2564591957       49              1         46 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
317791                                                                                                
317791.batch       13.46M               0         13.46M       19.74M                0         19.74M 
317791.exte+        0.00M              60          0.00M            0               60              0 
317791.0           49.63M               0         47.09M       79.91M                0         74.53M 
317791.1           45.36M               2         45.36M       71.88M                2         71.81M 
317791.2           45.36M               0         45.36M       66.72M                2         66.72M 
317791.3           45.37M               2         45.37M       72.18M                0         72.05M 
317791.4           45.36M               1         45.36M       72.12M                1         72.06M 
317791.5           45.37M               1         45.37M       71.91M                2         71.86M 
317791.6           45.37M               0         45.37M       71.98M                1         71.92M 
317791.7           45.36M               2         45.36M       71.99M                0         71.67M 
317791.8           45.37M               2         45.37M       72.09M                0         71.88M 
317791.9           45.37M               0         45.37M       72.05M                0         71.92M 
317791.10          45.36M               2         45.36M       72.08M                2         71.97M 
317791.11          45.37M               1         45.37M       72.02M                2         71.87M 
317791.12          45.37M               2         45.37M       72.40M                1         72.27M 
317791.13          45.36M               2         45.36M       72.37M                1         72.21M 
317791.14          45.36M               1         45.36M       72.39M                1         72.24M 
317791.15          45.37M               0         45.37M       72.68M                1         72.37M 
317791.16          45.37M               0         45.37M       71.98M                2         71.95M 

Job 317791 completed at Fri Mar 25 21:21:13 CET 2022
