Starting job 311838 on b[1352-1354,1368,1374-1375,1377-1379,1381-1382,1384-1390,1392-1393,1395,3149,3157-3165,4311-4312,4337-4348,4366,4368-4373,4376,4378-4379,4382-4384,4386,4390-4391,4393-4394,4396] at Tue Mar 15 21:41:20 CET 2022

start running log_Zn64_gs8_tr_j8p_j10n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311838         Zn64_gs8       8192                                             00:20:32      0:0 
311838.batch      batch        128        1   00:00:00          0   00:00:00   00:20:32      0:0 
311838.exte+     extern       8192       64   00:00:00         60   00:00:00   00:20:32      0:0 
311838.0     hydra_bst+       2048       16 2-10:55:43          8 3-06:05:57   00:20:29      0:0 
311838.1     hydra_bst+        384        3 3-10:10:30          0 3-10:14:32   00:20:28      0:0 
311838.2     hydra_bst+        384        3 3-10:12:53          0 3-10:22:24   00:20:28      0:0 
311838.3     hydra_bst+        384        3 3-10:19:46          1 3-10:23:11   00:20:28      0:0 
311838.4     hydra_bst+        384        3 3-10:20:49          1 3-10:23:00   00:20:28      0:0 
311838.5     hydra_bst+        384        3 3-10:23:05          0 3-10:23:32   00:20:28      0:0 
311838.6     hydra_bst+        384        3 2-14:55:44          2 3-03:54:27   00:20:28      0:0 
311838.7     hydra_bst+        384        3 3-10:20:23          2 3-10:23:44   00:20:28      0:0 
311838.8     hydra_bst+        384        3 3-10:13:42          0 3-10:18:36   00:20:28      0:0 
311838.9     hydra_bst+        384        3 3-09:44:45          1 3-09:46:07   00:20:28      0:0 
311838.10    hydra_bst+        384        3 3-10:24:31          2 3-10:25:09   00:20:28      0:0 
311838.11    hydra_bst+        384        3 3-10:24:11          2 3-10:25:44   00:20:28      0:0 
311838.12    hydra_bst+        384        3 2-10:50:46          2 3-02:32:08   00:20:28      0:0 
311838.13    hydra_bst+        384        3 3-10:17:39          2 3-10:20:41   00:20:28      0:0 
311838.14    hydra_bst+        384        3 3-09:44:10          1 3-09:45:46   00:20:28      0:0 
311838.15    hydra_bst+        384        3 2-07:39:33          2 3-01:25:13   00:20:28      0:0 
311838.16    hydra_bst+        384        3 2-11:32:54          1 3-02:17:46   00:20:28      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311838                                                                           
311838.batch      8832K          0      8832K       11              0         11 
311838.exte+       846K          0     835504        3             27          1 
311838.0       5080026K          5 5164888960       66             10         60 
311838.1       5028049K          2 5139378858       51              2         49 
311838.2       5036015K          0   5023835K       55              1         53 
311838.3       5055538K          0 5147657557       56              0         50 
311838.4       5033677K          0 5125368490       56              2         50 
311838.5       5054657K          0 5157291690       54              2         48 
311838.6       5050388K          2 5141104981       54              2         50 
311838.7       5044917K          1 5156512085       54              1         49 
311838.8       5015016K          2 5127394986       55              0         49 
311838.9       5045197K          0 5127894357       50              1         49 
311838.10      5011903K          0 5119223125       55              1         51 
311838.11      5023330K          0 5138008746       50              2         48 
311838.12      5048378K          1 5153645909       56              0         54 
311838.13      5015420K          2 5126042282       52              2         47 
311838.14      5061239K          2   5041250K       60              0         54 
311838.15      5051444K          0   5024046K       59              2         52 
311838.16      4999801K          2 5113300650       52              0         48 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311838                                                                                                
311838.batch       15.26M               0         15.26M       21.42M                0         21.42M 
311838.exte+        0.00M              60          0.00M            0               60              0 
311838.0         2569.44M              14       2477.18M       69.94M                0         69.93M 
311838.1         2535.77M               1       2512.10M       66.72M                2         66.72M 
311838.2         2559.69M               2       2527.65M       66.72M                0         66.72M 
311838.3         2484.82M               0       2455.97M       66.72M                1         66.72M 
311838.4         2465.66M               0       2455.74M       66.72M                1         66.72M 
311838.5         2519.94M               1       2492.65M       66.72M                2         66.72M 
311838.6         2553.01M               1       2502.46M       66.72M                0         66.72M 
311838.7         2475.46M               0       2461.47M       66.72M                1         66.72M 
311838.8         2582.43M               1       2535.80M       66.72M                2         66.72M 
311838.9         2448.94M               2       2426.42M       66.72M                1         66.72M 
311838.10        2499.19M               1       2470.09M       66.72M                0         66.72M 
311838.11        2466.28M               0       2456.50M       66.72M                1         66.72M 
311838.12        2534.50M               1       2508.21M       66.72M                0         66.72M 
311838.13        2523.47M               1       2486.69M       66.72M                2         66.72M 
311838.14        2490.01M               0       2443.46M       66.72M                0         66.72M 
311838.15        2562.73M               0       2491.16M       66.72M                2         66.72M 
311838.16        2393.05M               0       1245.38M       66.72M                1         66.72M 

Job 311838 completed at Tue Mar 15 22:01:52 CET 2022
